rest_block,Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),rest_flag,soc_discharge,soc_charge
2,772,7714.714819061067,2015-12-02 12:17:13,7200.012517030071,4,1,0.0,4.1757707595825195,0.01614623159908,0.0,0.067823668715209,0.0,-3.24249267578125e-05,0,0,0,0,True,100.0,0.807311579954
4,8611,15634.739396079283,2015-12-02 14:29:14,7200.0127278998125,6,1,0.0,4.050173759460449,0.01614623159908,0.199958370983922,0.067823668715209,0.774347306311063,-3.24249267578125e-05,0,0,0,0,True,90.0020814508039,0.807311579954
6,16450,23554.77986589879,2015-12-02 16:41:14,7200.01309547952,6,2,0.0,3.9399726390838623,0.01614623159908,0.399916658650348,0.067823668715209,1.524087679214367,-3.24249267578125e-05,0,0,0,0,True,80.0041670674826,0.807311579954
8,24289,31474.820659759804,2015-12-02 18:53:15,7200.012961796857,6,3,0.0,3.8399813175201416,0.01614623159908,0.599871416490869,0.067823668715209,2.251305939435329,3.24249267578125e-05,0,0,0,0,True,70.00642917545656,0.807311579954
10,32129,39394.86157361075,2015-12-02 21:05:15,7200.013696269563,6,4,0.0,3.753603219985962,0.01614623159908,0.799838703636479,0.067823668715209,2.957398694485223,0.0,0,0,0,0,True,60.00806481817605,0.807311579954
12,39969,47314.90388904951,2015-12-02 23:17:16,7200.0133634463455,6,5,0.0,3.6647939682006836,0.01614623159908,0.999809061048735,0.067823668715209,3.647907152807342,0.0,0,0,0,0,True,50.00954694756325,0.807311579954
14,47808,55234.94460328279,2015-12-03 01:29:16,7200.01328263525,6,6,0.0,3.62606143951416,0.01614623159908,1.199775167146809,0.067823668715209,4.327956723180903,3.2176405511563644e-05,0,0,0,0,True,40.01124164265954,0.807311579954
16,55647,63154.98384795556,2015-12-03 03:41:17,7200.012971902002,6,7,0.0,3.5994834899902344,0.01614623159908,1.399748578189576,0.067823668715209,5.00075331203172,-3.24249267578125e-05,0,0,0,0,True,30.012571090521206,0.807311579954
18,63485,71075.02234664209,2015-12-03 05:53:17,7200.012538107522,6,8,0.0,3.555565118789673,0.01614623159908,1.599724377755184,0.067823668715209,5.666128021373377,-3.24249267578125e-05,0,0,0,0,True,20.013781112240807,0.807311579954
20,71324,78995.06491514202,2015-12-03 08:05:17,7200.012347448072,6,9,0.0,3.46772837638855,0.01614623159908,1.799698842684497,0.067823668715209,6.317822684728233,0.0,0,0,0,0,True,10.015057865775148,0.807311579954
22,79120,86870.68562310086,2015-12-03 10:16:33,7200.011544219268,8,10,0.0,3.2641804218292236,0.01614623159908,1.987336011530793,0.067823668715209,6.892067584818001,0.0,0,0,0,0,True,0.6331994234603542,0.807311579954
24,86961,94790.70685495781,2015-12-03 12:28:33,7200.0115174676985,10,10,0.0,3.482800006866455,0.216052683970421,1.987336011530793,0.80492849886147,6.892067584818001,3.24249267578125e-05,0,0,0,0,True,0.6331994234603542,10.80263419852105
26,94803,102710.7465325614,2015-12-03 14:40:34,7200.011663496084,10,11,0.0,3.5769572257995605,0.415962195728942,1.987336011530793,1.558893740359128,6.892067584818001,3.24249267578125e-05,0,0,0,0,True,0.6331994234603542,20.7981097864471
28,102643,110630.78065810323,2015-12-03 16:52:34,7200.011586048359,10,12,0.0,3.610665798187256,0.615873316004534,1.987336011530793,2.325116938323428,6.892067584818001,3.24249267578125e-05,0,0,0,0,True,0.6331994234603542,30.793665800226698
30,110483,118550.81698337288,2015-12-03 19:04:34,7200.011183256025,10,13,0.0,3.6369194984436035,0.815787789944543,1.987336011530793,3.102921134397031,6.892067584818001,-3.2324071071343496e-05,0,0,0,0,True,0.6331994234603542,40.789389497227155
32,118323,126470.8570437951,2015-12-03 21:16:35,7200.011333349527,10,14,0.0,3.6737072467803955,1.01570667033256,1.987336011530793,3.887000889175617,6.892067584818001,0.0,0,0,0,0,True,0.6331994234603542,50.78533351662799
34,126164,134390.89281968135,2015-12-03 23:28:35,7200.011461062336,10,15,0.0,3.763002634048462,1.215622334804064,1.987336011530793,4.682701703348072,6.892067584818001,0.0,0,0,0,0,True,0.6331994234603542,60.7811167402032
36,134004,142310.9315040029,2015-12-04 01:40:35,7200.011398230983,10,16,0.0,3.8487327098846436,1.415536379668838,1.987336011530793,5.494209966797878,6.892067584818001,3.24249267578125e-05,0,0,0,0,True,0.6331994234603542,70.7768189834419
38,141845,150230.97287556028,2015-12-04 03:52:36,7200.011452059934,10,17,0.0,3.947103261947632,1.61545185787649,1.987336011530793,6.324968838426156,6.892067584818001,0.0,0,0,0,0,True,0.6331994234603542,80.77259289382451
